nrun  cer1    cer2    cer3    cer4    cer5    cer6    cer7    cer8    cer9    cer10   flag
1207  322.84  314.54  315.58  297.46  303.10  303.28  292.37  306.63  326.41  307.94  0
1208  291.37  291.40  299.89  296.61  294.09  294.71  304.08  294.58  308.56  294.42  0
1209  301.48  308.60  305.89  298.67  297.99  303.07  301.31  305.99  300.04  309.82  0
1210  301.16  301.23  299.39  300.61  302.05  295.91  298.60  299.00  297.65  300.35  0
1211  300.97  292.53  300.76  293.51  296.23  299.61  303.43  303.20  303.24  301.77  0
1212  295.05  303.25  298.52  301.27  296.53  296.51  299.78  300.25  299.39  302.77  0
1213  302.80  301.30  295.01  293.68  297.00  303.70  301.26  300.99  304.43  301.62  0
1214  294.77  299.89  299.61  290.11  297.70  296.93  295.18  299.05  306.31  297.29  0
1215  300.13  298.06  293.68  293.57  296.51  297.55  298.12  302.42  305.70  300.59  0
1216  292.44  293.63  293.73  295.50  294.44  295.78  298.40  299.49  298.79  298.98  0
1217  303.25  314.02  303.53  297.36  302.07  295.13  306.10  307.67  307.78  303.52  0
1219  304.94  306.21  296.29  298.86  299.43  300.49  302.31  299.35  297.48  302.35  0
1220  298.29  308.19  295.12  298.52  296.77  297.44  299.92  307.61  300.95  304.56  0
1221  302.00  306.39  301.77  300.23  299.62  295.52  305.16  303.27  300.96  306.66  0
1222  296.81  301.23  295.40  298.63  297.53  295.20  298.72  301.08  304.28  301.63  0
1223  299.51  298.81  293.15  296.75  294.83  297.27  300.35  301.06  303.62  301.59  0
1224  295.44  294.60  296.15  298.52  297.15  292.69  297.16  301.31  299.84  300.52  0
1225  301.09  294.49  296.46  293.03  295.93  297.05  299.37  301.70  304.45  299.47  0
1231  307.63  303.39  299.43  287.24  298.56  301.43  299.16  301.66  303.53  306.51  0
1233  321.73  311.85  308.53  305.76  313.90  309.65  302.39  310.88  305.06  307.07  0
1234  245.80  255.95  268.56  271.23  267.02  256.17  299.17  257.80  263.65  282.92  0
1235  312.97  310.18  303.39  307.93  305.08  303.12  307.26  311.00  302.96  305.71  0
1236  308.64  313.90  301.60  304.85  302.18  302.56  306.24  307.27  305.84  308.88  0
1237  313.12  303.42  302.03  303.86  300.54  303.38  308.24  313.33  304.32  314.44  0
1238  312.61  314.22  305.90  304.82  306.61  304.52  305.86  313.76  306.59  308.53  0
1239  311.22  308.18  303.57  308.94  302.13  299.24  310.64  309.61  305.16  308.27  0
1240  307.44  307.65  301.24  301.18  301.04  301.04  302.73  309.12  310.52  303.58  0
1241  306.27  306.39  302.11  297.47  298.17  302.53  304.91  304.04  304.04  303.46  0
1242  312.90  298.94  300.64  301.63  299.94  299.99  305.03  304.59  300.88  304.67  0
1243  308.73  303.22  300.80  301.15  299.10  298.99  301.78  302.79  302.14  301.75  0
1244  282.13  300.21  297.73  306.04  289.21  300.94  306.22  291.67  296.48  313.56  0
