nrun   cer1   cer2   cer3   cer4   cer5   cer6  cer7   cer8   cer9   cer10
90837  -0.49  -0.27  -0.09  -0.56  -0.07  0.39  -0.48  -0.29  -0.19  -0.37  
90838  -0.49  -0.00  0.09  -0.51  -0.21  0.44  -0.49  -0.39  -0.32  -0.44  
90840  -0.58  -0.06  0.09  -0.57  -0.24  0.47  -0.52  -0.39  -0.29  -0.49  
90843  -0.40  0.37  0.14  -0.41  -0.16  0.58  -0.40  -0.48  -0.23  -0.54  
90849  -0.59  -0.07  0.04  -0.41  -0.20  0.43  -0.48  -0.48  -0.30  -0.47  
90850  -0.61  -0.09  0.05  -0.63  -0.28  0.41  -0.46  -0.47  -0.27  -0.49  
90851  -0.49  -0.01  0.17  -0.46  -0.31  0.51  -0.48  -0.47  -0.31  -0.42  
90852  -0.59  -0.04  -0.02  -0.41  -0.28  0.40  -0.51  -0.52  -0.29  -0.45  
90853  -0.64  0.01  -0.00  -0.44  -0.19  0.42  -0.51  -0.56  -0.29  -0.46  
90854  -0.57  -0.03  0.07  -0.63  -0.23  0.43  -0.47  -0.54  -0.29  -0.48  
90855  -0.59  -0.06  0.04  -0.60  -0.23  0.46  -0.44  -0.46  -0.25  -0.48  
90856  -0.62  -0.06  0.08  -0.58  -0.18  0.44  -0.45  -0.46  -0.27  -0.45  
90857  -0.59  -0.09  0.07  -0.57  -0.21  0.43  -0.45  -0.53  -0.29  -0.49  
90859  -0.59  -0.12  0.04  -0.63  -0.23  0.44  -0.46  -0.39  -0.27  -0.48  
90861  -0.66  -0.02  0.19  -0.61  -0.13  0.48  -0.36  -0.39  -0.29  -0.48  
90862  -0.48  -0.08  0.10  -0.61  -0.42  0.49  -0.46  -0.46  -0.32  -0.54  
90863  -0.59  -0.32  0.04  -0.59  -0.52  0.38  -0.35  -0.43  -0.33  -0.51  
90864  -0.55  -0.04  0.05  -0.66  -0.22  0.45  -0.47  -0.44  -0.24  -0.53  
90865  -0.61  -0.02  0.08  -0.54  -0.26  0.42  -0.47  -0.40  -0.15  -0.51  
90866  -0.50  -0.03  0.07  -0.56  -0.18  0.46  -0.49  -0.40  -0.32  -0.51  
90867  -0.54  -0.09  0.06  -0.69  -0.25  0.44  -0.42  -0.38  -0.31  -0.48  
90868  -0.55  -0.16  0.13  -0.68  -0.24  0.41  -0.49  -0.55  -0.22  -0.56  
90869  -0.52  -0.06  0.03  -0.65  -0.19  0.53  -0.56  -0.39  -0.21  -0.51  
90870  -0.54  -0.01  0.07  -0.51  -0.17  0.47  -0.46  -0.38  -0.22  -0.49  
90871  -0.57  -0.08  0.07  -0.58  -0.23  0.41  -0.53  -0.50  -0.30  -0.54  
90873  -0.56  -0.09  0.05  -0.46  -0.27  0.47  -0.45  -0.36  -0.26  -0.49  
90874  -0.57  -0.08  0.07  -0.48  -0.25  0.47  -0.45  -0.43  -0.24  -0.57  
90875  -0.54  -0.02  0.01  -0.42  -0.18  0.53  -0.45  -0.48  -0.26  -0.51  
90876  -0.52  -0.03  0.12  -0.54  -0.18  0.49  -0.46  -0.43  -0.25  -0.50  
90877  -0.60  -0.06  0.08  -0.54  -0.26  0.48  -0.40  -0.41  -0.24  -0.52  
90878  -0.53  -0.03  0.08  -0.58  -0.20  0.48  -0.43  -0.43  -0.23  -0.55  
90879  -0.16  0.17  0.45  0.01  0.17  0.46  -0.41  -0.09  -0.54  -0.35  
90880  -0.29  0.25  0.28  0.01  0.08  0.60  -0.65  -0.16  -0.75  -0.64  
90883  0.24  0.55  0.29  -0.15  0.06  -0.00  -0.78  -0.49  -0.49  -0.95  
90884  -0.32  0.38  0.01  0.04  0.25  0.59  -0.61  -0.25  -0.43  -0.62  
90885  -0.14  -0.12  0.12  -0.31  0.08  0.27  -0.46  -0.22  -0.32  -0.75  
90886  -0.22  0.17  0.12  0.05  0.07  0.40  -0.64  -0.12  -0.21  -0.43  
90887  -0.27  0.03  0.21  0.08  0.36  0.31  -0.38  0.02  -0.57  -0.72  
90891  0.08  0.22  0.12  -0.49  0.32  0.28  -0.51  0.06  -0.16  0.01  
90895  -0.29  0.41  0.14  0.27  -0.31  0.57  -0.00  -0.65  -0.25  -0.79  
90896  0.08  0.27  0.29  -0.20  0.02  0.19  -0.44  -0.23  -0.40  -0.87  
90898  -0.38  0.50  0.04  0.15  0.38  -0.04  -0.16  0.21  -0.60  -0.45  
90899  -0.26  0.55  0.15  -0.23  0.19  0.47  -0.46  -0.35  -0.58  -0.49  
90900  -0.07  0.18  0.09  -0.23  0.16  0.37  -0.44  -0.41  -0.31  -0.75  
90901  -0.24  0.43  0.27  0.06  0.34  0.68  -0.30  -0.42  -0.44  -0.19  
90902  -0.29  0.66  0.23  -0.13  0.34  0.57  -0.74  0.15  -0.04  -0.57  
90903  -0.27  0.31  -0.12  -0.15  0.05  0.24  -0.27  0.18  -0.24  -0.36  
90904  0.12  0.19  0.28  -0.04  0.45  0.30  -0.61  -0.09  -0.19  -0.41  
90905  -0.56  0.14  0.29  -0.26  0.12  0.41  -0.37  -0.07  -0.29  -0.25  
90906  -0.12  -0.19  0.21  -0.50  0.09  0.08  -0.31  0.27  -0.47  -0.78  
