nrun   s0l    s0r
90837  -0.02  0.77  
90838  0.35  1.40  
90839  2.13  2.17  
90840  1.68  1.37  
90841  1.55  2.21  
90843  0.53  0.97  
90844  -1.77  1.25  
90849  1.05  1.59  
90850  1.30  1.46  
90851  0.61  1.18  
90852  0.77  0.68  
90853  0.73  1.06  
90854  1.50  0.70  
90855  0.65  0.96  
90856  1.58  1.00  
90857  0.95  1.01  
90859  0.59  1.87  
90861  -0.10  0.56  
90862  0.75  1.30  
90863  -0.03  0.92  
90864  0.82  0.55  
90865  1.07  0.89  
90866  -1.14  1.51  
90867  0.11  0.96  
90868  0.23  1.81  
90869  1.38  1.55  
90870  1.27  1.49  
90871  0.96  1.22  
90872  0.87  1.68  
90873  0.96  1.18  
90874  0.84  1.66  
90875  1.29  1.37  
90876  1.01  1.78  
90877  0.68  1.57  
90878  0.97  1.55  
90879  0.45  1.03  
90880  0.29  0.69  
90883  0.06  0.89  
90884  -0.20  0.58  
90885  0.44  0.45  
90886  -0.80  0.50  
90887  0.36  0.37  
90891  -0.33  0.40  
90895  -0.02  0.74  
90896  0.10  0.91  
90898  0.39  0.62  
90899  0.21  0.64  
90900  -0.20  0.86  
90901  0.55  0.76  
90902  0.40  0.68  
90903  0.87  0.77  
90904  -0.10  0.77  
90905  0.47  0.84  
90906  -0.01  0.71  
90907  0.15  0.74  
90908  -0.23  0.89  
90909  0.33  0.52  
90910  -0.02  0.78  
90911  0.01  0.37  
90912  0.19  0.68  
90913  0.01  0.73  
90914  0.28  0.68  
90915  -0.15  0.59  
90916  0.03  1.08  
90919  0.32  0.61  
90920  -0.42  0.70  
90921  -0.31  0.50  
90922  0.17  0.71  
90923  0.07  0.36  
90924  0.76  0.67  
90925  0.35  0.44  
90926  0.00  0.49  
90930  0.31  0.61  
90931  0.20  0.58  
90932  -0.03  0.84  
90935  0.23  0.60  
90940  0.23  0.95  
90941  0.44  0.46  
90943  0.94  0.80  
90944  0.39  0.77  
90945  -0.25  0.83  
90946  0.27  0.71  
90947  0.63  0.57  
90948  0.10  0.83  
90949  0.15  0.93  
90950  -0.13  0.49  
90951  0.15  0.73  
90952  0.51  0.85  
90953  -0.18  0.69  
90955  0.21  0.57  
90956  -0.20  0.68  
90957  -0.15  1.48  
90958  0.15  0.53  
90959  -0.04  0.53  
90960  0.24  0.74  
90961  0.09  0.48  
90962  0.51  0.68  
90967  0.36  0.68  
90968  -0.07  0.53  
90969  0.40  0.47  
90970  0.42  0.41  
90971  0.12  0.80  
90972  0.16  0.22  
90973  -0.01  1.17  
90974  0.28  0.86  
90975  0.06  0.46  
90976  0.09  0.73  
90977  0.23  0.70  
90979  -0.06  0.94  
90981  -0.11  0.80  
90982  0.50  0.67  
90983  0.17  0.69  
90984  0.05  0.51  
90985  -0.01  0.60  
90988  0.18  0.55  
90989  0.29  0.83  
90990  -0.16  0.91  
90991  0.22  1.17  
90992  0.21  0.77  
90993  -0.01  0.77  
90995  0.80  1.22  
90999  0.61  0.77  
91000  -0.06  0.31  
91001  0.34  0.14  
91002  0.22  0.63  
91003  0.17  0.91  
91004  -0.02  0.44  
91005  -0.21  0.67  
91006  -0.08  0.56  
91007  0.07  0.63  
91008  0.34  0.69  
91009  -0.07  0.55  
91010  -0.02  0.41  
91011  -0.05  0.83  
91012  0.19  0.89  
91013  0.30  0.89  
91014  0.58  0.80  
91015  -0.04  0.61  
91017  0.34  0.64  
91018  0.38  0.62  
91019  0.47  0.80  
91021  0.47  0.63  
91025  0.38  0.93  
91026  0.42  0.65  
91027  0.39  0.93  
91028  0.21  0.93  
91029  0.07  0.73  
91030  0.10  0.63  
91031  0.46  0.53  
91032  0.21  0.72  
91033  -0.43  0.60  
91034  0.34  0.72  
91035  -0.19  0.46  
91036  -0.03  0.82  
91037  -0.06  0.43  
91038  0.53  0.74  
91039  0.03  0.81  
91042  0.53  0.63  
91043  -0.12  0.73  
91056  0.30  0.87  
91058  0.06  0.97  
91059  0.25  0.63  
91060  0.09  0.46  
91061  -0.04  0.82  
91062  -0.08  0.13  
91063  -0.06  1.04  
91064  -0.18  0.55  
91065  0.39  0.64  
91066  -0.28  1.17  
91067  0.20  0.74  
91068  0.27  0.59  
91069  -0.14  0.63  
91070  -0.25  0.65  
91071  0.29  1.22  
91072  -0.37  0.51  
91073  0.33  0.47  
91074  0.42  0.66  
91075  0.10  0.63  
91076  -0.70  1.04  
91077  0.25  0.26  
91078  0.22  0.47  
91079  0.22  0.55  
91080  0.29  0.60  
91081  -0.10  0.47  
91082  -0.24  0.54  
91083  -0.27  0.47  
91084  0.35  0.73  
91085  0.24  0.83  
91086  0.22  0.58  
91087  0.28  0.77  
91088  0.31  0.64  
91089  0.04  0.79  
91091  0.33  0.99  
91093  0.32  0.39  
91094  0.11  0.64  
91095  0.11  0.90  
91096  -0.19  0.78  
91097  0.06  0.67  
91098  0.57  0.82  
91099  0.05  0.36  
91100  -0.16  0.99  
91102  -0.02  0.64  
91103  -0.07  0.94  
91104  0.08  0.86  
91105  0.13  0.85  
91106  0.33  0.57  
91110  0.25  0.43  
91111  0.07  0.50  
91113  0.74  0.55  
91114  -0.11  0.45  
91115  0.44  0.23  
91116  0.53  0.43  
91118  -0.15  0.78  
91120  -0.01  0.60  
91122  0.08  0.79  
91124  0.43  0.56  
91126  -0.09  0.45  
91127  -0.68  0.97  
91130  0.19  0.83  
91131  -0.03  0.73  
91132  0.01  1.14  
91134  1.24  0.82  
91135  0.36  0.91  
91137  0.31  0.57  
91140  -0.02  1.01  
