---------- H1 ----------
0  0.16  0.22
1  0.18  0.24
2  0.22  0.28
3  0.25  0.32
4  0.29  0.36
---------- D2 ----------
0  0.16  0.22
1  0.18  0.24
2  0.22  0.28
3  0.25  0.32
4  0.29  0.36
5  0.33  0.41
7  0.4  0.48
9  0.47  0.57
11  0.55  0.64
13  0.62  0.72
15  0.69  0.8
---------- He ----------
0  0.16  0.22
1  0.18  0.24
2  0.22  0.28
3  0.25  0.32
4  0.29  0.36
5  0.33  0.4
7  0.4  0.48
9  0.47  0.56
11  0.55  0.64
13  0.62  0.72
15  0.69  0.79
---------- H3 ----------
0  0.16  0.22
1  0.18  0.24
2  0.22  0.28
3  0.25  0.32
4  0.29  0.36
5  0.33  0.4
7  0.4  0.48
9  0.47  0.56
11  0.55  0.64
13  0.62  0.72
15  0.69  0.8
