---------- H1 ----------
0  0.152  0.261
1  0.168  0.28
2  0.202  0.322
3  0.237  0.364
4  0.272  0.413
---------- D2 ----------
0  0.152  0.261
1  0.168  0.278
2  0.202  0.326
3  0.237  0.369
4  0.273  0.414
5  0.308  0.455
7  0.378  0.547
9  0.449  0.636
11  0.521  0.721
13  0.594  0.81
15  0.665  0.893
---------- He ----------
0  0.152  0.261
1  0.168  0.279
2  0.202  0.326
3  0.237  0.369
4  0.272  0.418
5  0.307  0.457
7  0.378  0.544
9  0.449  0.635
11  0.521  0.725
13  0.593  0.814
15  0.665  0.898
---------- H3 ----------
0  0.152  0.262
1  0.168  0.281
2  0.202  0.326
3  0.237  0.373
4  0.273  0.415
5  0.308  0.458
7  0.379  0.546
9  0.45  0.635
11  0.515  0.723
13  0.593  0.808
15  0.665  0.906
