x,Y
0.206966,0.308131,
0.222291,0.308131,
0.241099,0.306526,
0.257121,0.309736,
0.271053,0.319365,
0.287771,0.333809,
0.303096,0.348253,
0.321904,0.370720,
0.337229,0.388374,
0.357430,0.404422,
0.377632,0.412446,
0.395743,0.420471,
0.415944,0.418866,
0.434752,0.414051,
0.454954,0.402817,
0.473762,0.388374,
0.491176,0.380349,
0.507198,0.372325,
0.526703,0.372325,
0.542028,0.380349,
0.553870,0.383559,
0.568498,0.409237,
0.583127,0.426890,
0.595666,0.460592,
0.608204,0.489479,
0.613081,0.510342,
0.623529,0.545649,
0.631192,0.574536,
0.643034,0.614658,
0.654180,0.666013,
0.670201,0.728602,
0.684830,0.812054,
0.697368,0.881063,
0.706424,0.932418,
0.716176,0.999822,
0.727322,1.06883,
0.734288,1.12179,
0.739861,1.17956,
0.744040,1.20364,
0.751006,1.26141,
0.757276,1.31758,
0.764938,1.37375,
0.769118,1.42190,
0.773994,1.47165,
0.776780,1.49251,
