x   Q2   n/p    total_err     stat_err     sys_err
0.17  2.418  0.762848  0.0162543  0.00890032  0.013601
0.19  2.72  0.7372  0.0137984  0.00587299  0.0124862
0.22  3.1  0.70034  0.0130372  0.00597217  0.0115889
0.25  3.484  0.680522  0.013198  0.00708808  0.0111331
0.29  3.996  0.644933  0.0128364  0.00717378  0.0106447
0.33  4.559  0.626694  0.0133926  0.00828475  0.0105226
0.36  5.015  0.621054  0.0165195  0.0121036  0.0112426
0.385  5.399  0.570988  0.0175698  0.0139855  0.010635
0.43  6.013  0.558779  0.0144939  0.0105941  0.00989137
0.48  6.751  0.515546  0.0160103  0.0128229  0.00958666
0.51  7.218  0.515397  0.0168246  0.0136684  0.00981043
0.55  7.778  0.496716  0.0163612  0.0134175  0.00936282
0.59  8.317  0.486674  0.0162866  0.0134294  0.00921444
0.63  8.93  0.471163  0.0170267  0.0145084  0.00891146
0.67  9.381  0.457957  0.0186329  0.0162946  0.00903714
0.7  9.908  0.46053  0.0168557  0.0143895  0.00877813
0.74  10.49  0.428031  0.0155271  0.0131689  0.00822619
0.78  11.12  0.458689  0.0163392  0.0138563  0.00865868
0.82  11.75  0.452136  0.020361  0.0184398  0.00863386
