x     Ratio     Ratio_err      relative_err
0.194776  0.965331  0.0025678  0.00266002
0.224326  0.951437  0.00265486  0.00279037
0.254773  0.939769  0.00342586  0.00364543
0.284025  0.931265  0.0037219  0.0039966
0.314571  0.919005  0.00414263  0.00450773
0.343435  0.922174  0.00476174  0.00516359
0.373234  0.922891  0.00654193  0.00708852
0.405661  0.893601  0.00774226  0.00866411
0.434459  0.880084  0.00754675  0.00857503
0.465593  0.884695  0.00768072  0.00868177
0.494737  0.889593  0.00738397  0.00830038
0.524017  0.879351  0.0082389  0.00936929
0.555072  0.85974  0.00782869  0.00910588
0.584337  0.859562  0.00826164  0.00961145
0.614828  0.8566  0.00854156  0.00997147
0.644715  0.849892  0.00869207  0.0102273
0.674311  0.838906  0.00938934  0.0111924
0.704992  0.860291  0.0092074  0.0107027
0.73508  0.858782  0.00855808  0.00996537
0.764699  0.860241  0.00879492  0.0102238
0.794265  0.869103  0.00999476  0.0115001
0.823444  0.878382  0.0127616  0.0145285
