x    Q2     Ratio     stat_err    sys_err    rel_stat_err    rel_sys_err    tot    rel_tot    Norm(rel)
0.1700  2.4179  1.5738  0.0059  0.0085  0.0037   0.0054   0.0103   0.0065  0.0120
0.1900  2.7200  1.5662  0.0040  0.0079  0.0026   0.0050   0.0089   0.0057  0.0120
0.2200  3.1001  1.5628  0.0043  0.0076  0.0028   0.0048   0.0087   0.0056  0.0120
0.2500  3.4889  1.5673  0.0053  0.0074  0.0034   0.0047   0.0091   0.0058  0.0120
0.2900  4.0080  1.5744  0.0054  0.0075  0.0034   0.0047   0.0092   0.0058  0.0120
0.3300  4.5488  1.5625  0.0062  0.0075  0.0040   0.0048   0.0098   0.0063  0.0120
0.3600  5.0029  1.5777  0.0096  0.0085  0.0061   0.0054   0.0128   0.0081  0.0120
0.3850  5.3874  1.5941  0.0122  0.0085  0.0077   0.0054   0.0149   0.0093  0.0120
0.4300  6.0247  1.5713  0.0092  0.0080  0.0059   0.0051   0.0122   0.0078  0.0120
0.4800  6.7531  1.6179  0.0119  0.0085  0.0073   0.0052   0.0146   0.0090  0.0120
0.5100  7.2177  1.6014  0.0125  0.0086  0.0078   0.0054   0.0152   0.0095  0.0120
0.5500  7.7804  1.5998  0.0125  0.0084  0.0078   0.0052   0.0150   0.0094  0.0120
0.5900  8.3242  1.5901  0.0125  0.0085  0.0079   0.0053   0.0151   0.0095  0.0120
0.6300  8.9337  1.6024  0.0140  0.0084  0.0087   0.0052   0.0163   0.0102  0.0120
0.6700  9.3822  1.5952  0.0160  0.0086  0.0100   0.0054   0.0181   0.0114  0.0120
0.7000  9.9101  1.6273  0.0145  0.0084  0.0089   0.0052   0.0167   0.0103  0.0120
0.7400  10.5024  1.6580  0.0142  0.0083  0.0085   0.0050   0.0164   0.0099  0.0120
0.7800  11.1315  1.6530  0.0142  0.0084  0.0086   0.0051   0.0165   0.0100  0.0120
0.8200  11.7502  1.6355  0.0188  0.0084  0.0115   0.0051   0.0206   0.0126  0.0120
