x   positron_err  relative_err
0.171209  0.00109001  0.000738589
0.19  0.000555138  0.000382347
0.22  0.000276378  0.000193944
0.25  0.000173661  0.000122644
0.29  0.000151339  0.000108165
0.33  0.000149956  0.000109213
0.36  0.00019037  0.000137676
0.385  0.000172085  0.000126549
0.43  0.000127087  9.55706e-05
0.48  0.000120008  9.00695e-05
0.51  0.000109503  8.31073e-05
0.55  8.30583e-05  6.38877e-05
0.59  6.8272e-05  5.319e-05
0.63  5.07198e-05  3.96537e-05
0.67  4.87484e-05  3.86256e-05
0.7  3.35343e-05  2.60318e-05
0.74  2.40349e-05  1.86956e-05
0.78  1.95797e-05  1.49867e-05
0.82  1.48942e-05  1.15832e-05
