x   e+_err    e+_rel_err     ECC_err     ECC_rel_err
0.171209  0.00144635  0.000920588  0.000857039  0.000545498
0.19  0.000783034  0.000500565  0.000563699  0.000360352
0.22  0.000404079  0.000258881  0.000367685  0.000235565
0.25  0.000240785  0.000153776  0.000263012  0.000167971
0.29  0.000191155  0.000121584  0.000226545  0.000144095
0.33  0.000189463  0.00012144  0.000243639  0.000156165
0.36  0.000243769  0.000154769  0.000352999  0.000224119
0.385  0.000225593  0.000141724  0.000374834  0.000235482
0.43  0.000169128  0.000107845  0.00037293  0.0002378
0.48  0.000165337  0.000102422  0.00047127  0.000291939
0.51  0.000151534  9.48273e-05  0.000544181  0.000340539
0.55  0.000117117  7.33924e-05  0.000526351  0.000329842
0.59  9.74431e-05  6.14428e-05  0.000571418  0.000360308
0.63  7.33703e-05  4.59228e-05  0.000549509  0.00034394
0.67  7.1269e-05  4.4813e-05  0.000639986  0.000402415
0.7  4.91808e-05  3.0328e-05  0.000550902  0.000339721
0.74  3.60262e-05  2.18123e-05  0.000486202  0.000294375
0.78  2.89786e-05  1.75956e-05  0.000505696  0.000307055
0.82  2.23693e-05  1.36936e-05  0.000510876  0.000312738
