x   e+_err    e+_rel_err     ECC_err     ECC_rel_err
0.194745  0.000477459  0.000515679  0.000286057  0.000308955
0.224223  0.000227626  0.000248916  0.000153117  0.000167438
0.25434  0.000158786  0.00017615  0.00012924  0.000143373
0.283898  0.000148238  0.000167704  0.000147952  0.000167381
0.314667  0.000146523  0.000164601  0.000166663  0.000187225
0.343865  0.000122434  0.000139257  0.000156019  0.000177456
0.373403  0.000137745  0.000158684  0.00019603  0.000225828
0.405387  0.00012487  0.000147901  0.000202585  0.00023995
0.434241  0.000137771  0.000162173  0.000244202  0.000287455
0.465514  0.000114256  0.000136616  0.000226779  0.000271161
0.494762  8.91714e-05  0.000107524  0.000197231  0.000237825
0.523978  9.41909e-05  0.000115299  0.000232823  0.000284997
0.555054  6.60058e-05  8.12457e-05  0.000181125  0.000222945
0.584294  5.65987e-05  7.0194e-05  0.000171945  0.000213247
0.614839  4.78378e-05  5.8659e-05  0.000160339  0.000196609
0.644735  3.78593e-05  4.79469e-05  0.000144191  0.00018261
0.674293  3.59913e-05  4.52768e-05  0.000150243  0.000189005
0.705053  2.61706e-05  3.3293e-05  0.000122518  0.000155861
0.735091  1.93545e-05  2.45595e-05  0.000100319  0.000127298
0.764656  1.65319e-05  2.11589e-05  9.51712e-05  0.000121808
0.79427  1.44449e-05  1.83595e-05  9.11748e-05  0.000115884
0.823464  1.26369e-05  1.60026e-05  8.8016e-05  0.000111458
