 ***Theta   Eprime   Sig_Born   Sig_Rad
   15.6125   2.9605  19.8540  24.2260
   15.6125   2.9695  19.8201  24.1500
   15.6125   2.9785  19.7862  24.0738
   15.6125   2.9875  19.7524  23.9987
   15.6125   2.9965  19.7187  23.9225
   15.6125   3.0055  19.6851  23.8475
   15.6125   3.0145  19.6517  23.7732
   15.6125   3.0235  19.6183  23.7002
   15.6125   3.0325  19.5850  23.6301
   15.6125   3.0415  19.5519  23.5582
   15.6125   3.0505  19.5188  23.4879
   15.6125   3.0595  19.4858  23.4110
   15.6125   3.0685  19.4529  23.3385
   15.6125   3.0775  19.4201  23.2675
   15.6125   3.0865  19.3874  23.1967
   15.6125   3.0955  19.3548  23.1248
   15.6125   3.1045  19.3223  23.0551
   15.6125   3.1135  19.2898  22.9851
   15.6125   3.1225  19.2575  22.9161
   15.6125   3.1315  19.2252  22.8472
   15.6125   3.1405  19.1930  22.7801
   15.6125   3.1495  19.1608  22.7194
   15.6125   3.1585  19.1288  22.6522
   15.6125   3.1675  19.0968  22.5864
   15.6125   3.1765  19.0649  22.5235
   15.6125   3.1855  19.0331  22.4584
   15.6125   3.1945  19.0013  22.3897
   15.6125   3.2035  18.9696  22.3223
   15.6125   3.2125  18.9380  22.2512
   15.6125   3.2215  18.9065  22.1840
   15.6125   3.2305  18.8750  22.1177
   15.6125   3.2395  18.8435  22.0549
   16.1125   2.9605  17.3785  20.9527
   16.1125   2.9695  17.3460  20.8830
   16.1125   2.9785  17.3136  20.8136
   16.1125   2.9875  17.2813  20.7456
   16.1125   2.9965  17.2491  20.6774
   16.1125   3.0055  17.2170  20.6086
   16.1125   3.0145  17.1849  20.5414
   16.1125   3.0235  17.1530  20.4741
   16.1125   3.0325  17.1211  20.4084
   16.1125   3.0415  17.0893  20.3421
   16.1125   3.0505  17.0576  20.2764
   16.1125   3.0595  17.0259  20.2186
   16.1125   3.0685  16.9944  20.1526
   16.1125   3.0775  16.9629  20.0891
   16.1125   3.0865  16.9315  20.0319
   16.1125   3.0955  16.9001  19.9687
   16.1125   3.1045  16.8688  19.9051
   16.1125   3.1135  16.8376  19.8397
   16.1125   3.1225  16.8065  19.7703
   16.1125   3.1315  16.7754  19.7072
   16.1125   3.1405  16.7444  19.6440
   16.1125   3.1495  16.7135  19.5833
   16.1125   3.1585  16.6826  19.5213
   16.1125   3.1675  16.6518  19.4672
   16.1125   3.1765  16.6210  19.4072
   16.1125   3.1855  16.5903  19.3406
   16.1125   3.1945  16.5597  19.2795
