 ***x   Q2   Theta   Eprime   Sig_Born   Sig_Rad
  0.184376299       2.43561888       14.6250000       3.54949999       23.7854195       27.3568420    
  0.184298173       2.43493271       14.6250000       3.54850006       23.7888699       27.3641529    
  0.184220046       2.43424630       14.6250000       3.54749990       23.7923222       27.3715229    
  0.184141979       2.43356013       14.6250000       3.54649997       23.7957745       27.3788433    
  0.184063941       2.43287420       14.6250000       3.54550004       23.7992268       27.3862152    
  0.183985904       2.43218803       14.6250000       3.54450011       23.8026791       27.3935890    
  0.183907866       2.43150163       14.6250000       3.54349995       23.8061333       27.4009342    
  0.183829889       2.43081546       14.6250000       3.54250002       23.8095875       27.4083271    
  0.183751911       2.43012929       14.6250000       3.54150009       23.8130436       27.4157162    
  0.183673948       2.42944312       14.6250000       3.54049993       23.8164978       27.4230556    
  0.183596045       2.42875695       14.6250000       3.53950000       23.8199539       27.4304600    
  0.183518127       2.42807078       14.6250000       3.53850007       23.8234100       27.4378757    
  0.183440238       2.42738438       14.6250000       3.53749990       23.8268681       27.4452381    
  0.183362409       2.42669845       14.6250000       3.53649998       23.8303261       27.4526501    
  0.183284581       2.42601228       14.6250000       3.53550005       23.8337822       27.4600849    
  0.183206737       2.42532587       14.6250000       3.53449988       23.8372421       27.4674816    
  0.183128938       2.42463970       14.6250000       3.53349996       23.8407001       27.4749241    
  0.183051199       2.42395377       14.6250000       3.53250003       23.8441601       27.4827290    
  0.182973430       2.42326760       14.6250000       3.53150010       23.8476200       27.4902668    
  0.182895705       2.42258120       14.6250000       3.53049994       23.8510818       27.4986076    
  0.182817996       2.42189503       14.6250000       3.52950001       23.8545418       27.5060863    
  0.182740316       2.42120886       14.6250000       3.52850008       23.8580036       27.5135708    
  0.182662666       2.42052269       14.6250000       3.52749991       23.8614674       27.5213261    
  0.184861943       2.44099355       14.6350002       3.55250001       23.7045097       27.2464943    
  0.184783652       2.44030643       14.6350002       3.55150008       23.7079601       27.2537537    
  0.184705347       2.43961906       14.6350002       3.55049992       23.7114086       27.2610722    
  0.184627116       2.43893218       14.6350002       3.54949999       23.7148590       27.2691250    
  0.184548885       2.43824506       14.6350002       3.54850006       23.7183094       27.2764206    
  0.184470668       2.43755794       14.6350002       3.54749990       23.7217617       27.2837830    
  0.184392482       2.43687081       14.6350002       3.54649997       23.7252121       27.2910805    
  0.184314340       2.43618393       14.6350002       3.54550004       23.7286644       27.2984543    
  0.184236184       2.43549657       14.6350002       3.54450011       23.7321167       27.3058128    
  0.184158057       2.43480945       14.6350002       3.54349995       23.7355690       27.3131351    
  0.184079960       2.43412232       14.6350002       3.54250002       23.7390232       27.3205128    
  0.184001878       2.43343520       14.6350002       3.54150009       23.7424774       27.3278885    
  0.183923826       2.43274808       14.6350002       3.54049993       23.7459316       27.3352337    
  0.183845803       2.43206096       14.6350002       3.53950000       23.7493877       27.3426189    
  0.183767810       2.43137407       14.6350002       3.53850007       23.7528419       27.3500004    
  0.183689773       2.43068647       14.6350002       3.53749990       23.7563000       27.3573494    
  0.183611840       2.42999959       14.6350002       3.53649998       23.7597561       27.3647423    
  0.183533892       2.42931247       14.6350002       3.53550005       23.7632122       27.3721466    
  0.183455974       2.42862535       14.6350002       3.53449988       23.7666702       27.3795147    
  0.183378071       2.42793822       14.6350002       3.53349996       23.7701283       27.3869286    
  0.183300212       2.42725134       14.6350002       3.53250003       23.7735882       27.3943291    
  0.183222353       2.42656422       14.6350002       3.53150010       23.7770462       27.4017525    
  0.183144510       2.42587686       14.6350002       3.53049994       23.7805061       27.4096127    
  0.183066711       2.42518973       14.6350002       3.52950001       23.7839661       27.4170990    
  0.182988912       2.42450261       14.6350002       3.52850008       23.7874279       27.4253902    
  0.182911143       2.42381549       14.6350002       3.52749991       23.7908897       27.4329567    
  0.185034961       2.44362521       14.6450005       3.55150008       23.6376266       27.1663990    
  0.184956536       2.44293690       14.6450005       3.55049992       23.6410751       27.1737309    
  0.184878200       2.44224906       14.6450005       3.54949999       23.6445255       27.1809864    
  0.184799835       2.44156075       14.6450005       3.54850006       23.6479740       27.1882782    
  0.184721529       2.44087267       14.6450005       3.54749990       23.6514244       27.1963291    
  0.184643239       2.44018459       14.6450005       3.54649997       23.6548748       27.2036285    
  0.184564978       2.43949676       14.6450005       3.54550004       23.6583271       27.2109909    
  0.184486732       2.43880868       14.6450005       3.54450011       23.6617775       27.2183323    
  0.184408501       2.43812060       14.6450005       3.54349995       23.6652317       27.2256432    
