 ***Theta   Eprime   Sig_Born   Sig_Rad
   14.0717   2.9605  16.4657  21.9835
   14.0717   2.9695  16.4507  21.9243
   14.0717   2.9785  16.4357  21.8657
   14.0717   2.9875  16.4209  21.8075
   14.0717   2.9965  16.4061  21.7497
   14.0717   3.0055  16.3915  21.6923
   14.0717   3.0145  16.3770  21.6360
   14.0717   3.0235  16.3625  21.5796
   14.0717   3.0325  16.3482  21.5237
   14.0717   3.0415  16.3339  21.4682
   14.0717   3.0505  16.3197  21.4131
   14.0717   3.0595  16.3057  21.3585
   14.0717   3.0685  16.2917  21.3042
   14.0717   3.0775  16.2778  21.2521
   14.0717   3.0865  16.2640  21.1979
   14.0717   3.0955  16.2502  21.1435
   14.0717   3.1045  16.2366  21.0909
   14.0717   3.1135  16.2230  21.0387
   14.0717   3.1225  16.2096  20.9869
   14.0717   3.1315  16.1962  20.9355
   14.0717   3.1405  16.1829  20.8845
   14.0717   3.1495  16.1696  20.8338
   14.0717   3.1585  16.1565  20.7836
   14.0717   3.1675  16.1434  20.7337
   14.0717   3.1765  16.1304  20.6838
   14.0717   3.1855  16.1175  20.6346
   14.0717   3.1945  16.1046  20.5858
   14.0717   3.2035  16.0918  20.5373
   14.0717   3.2125  16.0791  20.4892
   14.0717   3.2215  16.0665  20.4414
   14.0717   3.2305  16.0540  20.3939
   14.0717   3.2395  16.0415  20.3467
   14.5717   2.9605  14.4058  18.9268
   14.5717   2.9695  14.3911  18.8744
   14.5717   2.9785  14.3766  18.8224
   14.5717   2.9875  14.3622  18.7708
   14.5717   2.9965  14.3478  18.7197
   14.5717   3.0055  14.3335  18.6689
   14.5717   3.0145  14.3193  18.6200
   14.5717   3.0235  14.3052  18.5698
   14.5717   3.0325  14.2911  18.5195
   14.5717   3.0415  14.2771  18.4691
   14.5717   3.0505  14.2632  18.4202
   14.5717   3.0595  14.2494  18.3717
   14.5717   3.0685  14.2356  18.3235
   14.5717   3.0775  14.2220  18.2757
   14.5717   3.0865  14.2084  18.2282
   14.5717   3.0955  14.1948  18.1812
   14.5717   3.1045  14.1813  18.1344
   14.5717   3.1135  14.1679  18.0876
   14.5717   3.1225  14.1546  18.0415
   14.5717   3.1315  14.1413  17.9958
   14.5717   3.1405  14.1281  17.9503
   14.5717   3.1495  14.1150  17.9052
   14.5717   3.1585  14.1019  17.8604
   14.5717   3.1675  14.0889  17.8159
   14.5717   3.1765  14.0759  17.7716
   14.5717   3.1855  14.0630  17.7277
   14.5717   3.1945  14.0501  17.6840
   14.5717   3.2035  14.0374  17.6406
   14.5717   3.2125  14.0246  17.5975
   14.5717   3.2215  14.0120  17.5548
   14.5717   3.2305  13.9993  17.5122
   14.5717   3.2395  13.9868  17.4699
   15.0717   2.9605  12.6379  16.3499
   15.0717   2.9695  12.6237  16.3026
   15.0717   2.9785  12.6096  16.2552
   15.0717   2.9875  12.5955  16.2093
   15.0717   2.9965  12.5815  16.1637
   15.0717   3.0055  12.5675  16.1184
   15.0717   3.0145  12.5536  16.0735
   15.0717   3.0235  12.5398  16.0289
   15.0717   3.0325  12.5261  15.9846
   15.0717   3.0415  12.5124  15.9407
   15.0717   3.0505  12.4987  15.8970
   15.0717   3.0595  12.4852  15.8534
   15.0717   3.0685  12.4716  15.8103
   15.0717   3.0775  12.4582  15.7676
   15.0717   3.0865  12.4448  15.7252
   15.0717   3.0955  12.4314  15.6831
   15.0717   3.1045  12.4181  15.6412
   15.0717   3.1135  12.4049  15.5996
   15.0717   3.1225  12.3917  15.5583
   15.0717   3.1315  12.3786  15.5172
   15.0717   3.1405  12.3655  15.4764
   15.0717   3.1495  12.3525  15.4358
   15.0717   3.1585  12.3395  15.3955
   15.0717   3.1675  12.3265  15.3554
   15.0717   3.1765  12.3136  15.3158
   15.0717   3.1855  12.3008  15.2764
   15.0717   3.1945  12.2880  15.2376
   15.0717   3.2035  12.2752  15.1987
   15.0717   3.2125  12.2625  15.1598
   15.0717   3.2215  12.2499  15.1212
   15.0717   3.2305  12.2372  15.0830
   15.0717   3.2395  12.2246  15.0450
   15.5717   2.9605  11.1139  14.1631
   15.5717   2.9695  11.1000  14.1213
   15.5717   2.9785  11.0862  14.0799
   15.5717   2.9875  11.0725  14.0388
   15.5717   2.9965  11.0588  13.9979
   15.5717   3.0055  11.0452  13.9571
   15.5717   3.0145  11.0316  13.9168
   15.5717   3.0235  11.0181  13.8768
   15.5717   3.0325  11.0046  13.8370
   15.5717   3.0415  10.9912  13.7976
   15.5717   3.0505  10.9779  13.7584
   15.5717   3.0595  10.9645  13.7194
   15.5717   3.0685  10.9513  13.6807
   15.5717   3.0775  10.9380  13.6422
   15.5717   3.0865  10.9248  13.6039
   15.5717   3.0955  10.9117  13.5659
   15.5717   3.1045  10.8986  13.5282
   15.5717   3.1135  10.8855  13.4907
   15.5717   3.1225  10.8725  13.4534
   15.5717   3.1315  10.8595  13.4165
   15.5717   3.1405  10.8466  13.3801
   15.5717   3.1495  10.8337  13.3437
   15.5717   3.1585  10.8208  13.3071
   15.5717   3.1675  10.8080  13.2710
   15.5717   3.1765  10.7952  13.2352
   15.5717   3.1855  10.7824  13.1995
   15.5717   3.1945  10.7697  13.1641
   15.5717   3.2035  10.7570  13.1288
   15.5717   3.2125  10.7443  13.0938
   15.5717   3.2215  10.7317  13.0589
   15.5717   3.2305  10.7191  13.0243
   15.5717   3.2395  10.7065  12.9899
   16.0717   2.9605   9.7943  12.3022
   16.0717   2.9695   9.7808  12.2647
   16.0717   2.9785   9.7674  12.2274
   16.0717   2.9875   9.7540  12.1903
   16.0717   2.9965   9.7406  12.1535
   16.0717   3.0055   9.7273  12.1168
   16.0717   3.0145   9.7140  12.0805
   16.0717   3.0235   9.7008  12.0442
   16.0717   3.0325   9.6876  12.0083
   16.0717   3.0415   9.6745  11.9726
   16.0717   3.0505   9.6614  11.9372
   16.0717   3.0595   9.6483  11.9019
   16.0717   3.0685   9.6352  11.8670
   16.0717   3.0775   9.6222  11.8326
   16.0717   3.0865   9.6093  11.7981
   16.0717   3.0955   9.5963  11.7636
   16.0717   3.1045   9.5834  11.7294
   16.0717   3.1135   9.5705  11.6955
   16.0717   3.1225   9.5577  11.6618
   16.0717   3.1315   9.5449  11.6282
   16.0717   3.1405   9.5321  11.5949
   16.0717   3.1495   9.5193  11.5618
   16.0717   3.1585   9.5066  11.5288
   16.0717   3.1675   9.4939  11.4961
   16.0717   3.1765   9.4812  11.4635
   16.0717   3.1855   9.4685  11.4311
   16.0717   3.1945   9.4559  11.3989
   16.0717   3.2035   9.4433  11.3668
   16.0717   3.2125   9.4307  11.3350
   16.0717   3.2215   9.4181  11.3037
   16.0717   3.2305   9.4056  11.2721
   16.0717   3.2395   9.3931  11.2407
   16.5717   2.9605   8.6472  10.7105
   16.5717   2.9695   8.6340  10.6765
   16.5717   2.9785   8.6209  10.6427
   16.5717   2.9875   8.6079  10.6091
   16.5717   2.9965   8.5948  10.5757
   16.5717   3.0055   8.5818  10.5426
   16.5717   3.0145   8.5688  10.5096
   16.5717   3.0235   8.5559  10.4772
   16.5717   3.0325   8.5429  10.4446
   16.5717   3.0415   8.5301  10.4122
   16.5717   3.0505   8.5172  10.3800
   16.5717   3.0595   8.5044  10.3480
   16.5717   3.0685   8.4916  10.3162
   16.5717   3.0775   8.4788  10.2846
   16.5717   3.0865   8.4660  10.2532
   16.5717   3.0955   8.4533  10.2220
   16.5717   3.1045   8.4406  10.1909
   16.5717   3.1135   8.4279  10.1601
   16.5717   3.1225   8.4152  10.1294
   16.5717   3.1315   8.4026  10.0988
   16.5717   3.1405   8.3900  10.0684
   16.5717   3.1495   8.3774  10.0382
   16.5717   3.1585   8.3648  10.0085
   16.5717   3.1675   8.3522   9.9786
   16.5717   3.1765   8.3397   9.9488
   16.5717   3.1855   8.3271   9.9195
   16.5717   3.1945   8.3146   9.8900
   16.5717   3.2035   8.3021   9.8608
   16.5717   3.2125   8.2896   9.8314
   16.5717   3.2215   8.2772   9.8024
   16.5717   3.2305   8.2647   9.7734
   16.5717   3.2395   8.2522   9.7448
   17.0717   2.9605   7.6463   9.3438
   17.0717   2.9695   7.6334   9.3129
   17.0717   2.9785   7.6206   9.2821
   17.0717   2.9875   7.6079   9.2515
   17.0717   2.9965   7.5951   9.2211
   17.0717   3.0055   7.5824   9.1909
   17.0717   3.0145   7.5697   9.1609
   17.0717   3.0235   7.5570   9.1311
   17.0717   3.0325   7.5444   9.1014
   17.0717   3.0415   7.5317   9.0719
   17.0717   3.0505   7.5191   9.0425
   17.0717   3.0595   7.5065   9.0134
   17.0717   3.0685   7.4939   8.9844
   17.0717   3.0775   7.4814   8.9555
   17.0717   3.0865   7.4689   8.9268
   17.0717   3.0955   7.4563   8.8986
   17.0717   3.1045   7.4438   8.8702
   17.0717   3.1135   7.4313   8.8419
   17.0717   3.1225   7.4189   8.8140
   17.0717   3.1315   7.4064   8.7860
   17.0717   3.1405   7.3940   8.7582
   17.0717   3.1495   7.3815   8.7304
   17.0717   3.1585   7.3691   8.7028
   17.0717   3.1675   7.3567   8.6753
   17.0717   3.1765   7.3443   8.6480
   17.0717   3.1855   7.3319   8.6209
   17.0717   3.1945   7.3195   8.5928
   17.0717   3.2035   7.3072   8.5671
   17.0717   3.2125   7.2948   8.5403
   17.0717   3.2215   7.2825   8.5138
   17.0717   3.2305   7.2701   8.4873
   17.0717   3.2395   7.2578   8.4609
   17.5717   2.9605   6.7698   8.1651
   17.5717   2.9695   6.7573   8.1368
   17.5717   2.9785   6.7448   8.1088
   17.5717   2.9875   6.7323   8.0808
   17.5717   2.9965   6.7199   8.0531
   17.5717   3.0055   6.7074   8.0255
   17.5717   3.0145   6.6950   7.9980
   17.5717   3.0235   6.6826   7.9707
   17.5717   3.0325   6.6702   7.9438
   17.5717   3.0415   6.6578   7.9167
   17.5717   3.0505   6.6454   7.8898
   17.5717   3.0595   6.6331   7.8631
   17.5717   3.0685   6.6208   7.8367
   17.5717   3.0775   6.6084   7.8102
   17.5717   3.0865   6.5961   7.7837
   17.5717   3.0955   6.5838   7.7575
   17.5717   3.1045   6.5715   7.7313
   17.5717   3.1135   6.5592   7.7054
   17.5717   3.1225   6.5470   7.6796
   17.5717   3.1315   6.5347   7.6539
   17.5717   3.1405   6.5225   7.6284
   17.5717   3.1495   6.5102   7.6029
   17.5717   3.1585   6.4980   7.5776
   17.5717   3.1675   6.4857   7.5525
   17.5717   3.1765   6.4735   7.5274
   17.5717   3.1855   6.4613   7.5024
   17.5717   3.1945   6.4491   7.4775
   17.5717   3.2035   6.4368   7.4530
   17.5717   3.2125   6.4246   7.4284
   17.5717   3.2215   6.4124   7.4039
   17.5717   3.2305   6.4002   7.3795
   17.5717   3.2395   6.3880   7.3547
   18.0717   2.9605   5.9999   7.1453
   18.0717   2.9695   5.9877   7.1194
   18.0717   2.9785   5.9755   7.0938
   18.0717   2.9875   5.9633   7.0682
   18.0717   2.9965   5.9511   7.0426
   18.0717   3.0055   5.9389   7.0175
   18.0717   3.0145   5.9268   6.9921
   18.0717   3.0235   5.9146   6.9672
   18.0717   3.0325   5.9025   6.9411
   18.0717   3.0415   5.8904   6.9171
   18.0717   3.0505   5.8783   6.8923
   18.0717   3.0595   5.8662   6.8678
   18.0717   3.0685   5.8541   6.8433
   18.0717   3.0775   5.8420   6.8190
   18.0717   3.0865   5.8299   6.7947
   18.0717   3.0955   5.8178   6.7706
   18.0717   3.1045   5.8057   6.7466
   18.0717   3.1135   5.7937   6.7227
   18.0717   3.1225   5.7816   6.6989
   18.0717   3.1315   5.7696   6.6752
   18.0717   3.1405   5.7575   6.6519
   18.0717   3.1495   5.7455   6.6284
   18.0717   3.1585   5.7334   6.6051
   18.0717   3.1675   5.7214   6.5818
   18.0717   3.1765   5.7093   6.5583
   18.0717   3.1855   5.6973   6.5353
   18.0717   3.1945   5.6853   6.5122
   18.0717   3.2035   5.6732   6.4893
   18.0717   3.2125   5.6612   6.4665
   18.0717   3.2215   5.6491   6.4438
   18.0717   3.2305   5.6371   6.4211
   18.0717   3.2395   5.6250   6.3986
   18.5717   2.9605   5.3215   6.2602
   18.5717   2.9695   5.3096   6.2362
   18.5717   2.9785   5.2977   6.2125
   18.5717   2.9875   5.2858   6.1888
   18.5717   2.9965   5.2739   6.1653
   18.5717   3.0055   5.2620   6.1420
   18.5717   3.0145   5.2501   6.1187
   18.5717   3.0235   5.2382   6.0956
   18.5717   3.0325   5.2263   6.0726
   18.5717   3.0415   5.2145   6.0497
   18.5717   3.0505   5.2026   6.0269
   18.5717   3.0595   5.1908   6.0042
   18.5717   3.0685   5.1789   5.9816
   18.5717   3.0775   5.1671   5.9593
   18.5717   3.0865   5.1552   5.9369
   18.5717   3.0955   5.1434   5.9147
   18.5717   3.1045   5.1315   5.8925
   18.5717   3.1135   5.1197   5.8700
   18.5717   3.1225   5.1079   5.8481
   18.5717   3.1315   5.0960   5.8261
   18.5717   3.1405   5.0842   5.8043
   18.5717   3.1495   5.0724   5.7825
   18.5717   3.1585   5.0605   5.7609
   18.5717   3.1675   5.0487   5.7393
   18.5717   3.1765   5.0369   5.7178
   18.5717   3.1855   5.0250   5.6964
   18.5717   3.1945   5.0132   5.6751
   18.5717   3.2035   5.0014   5.6536
   18.5717   3.2125   4.9895   5.6324
   18.5717   3.2215   4.9777   5.6113
