kin  xbj    Q2     H1     D2
1    0.176  2.509  0.803  0.835
1    0.191  2.696  0.823  0.852
1    0.210  2.948  0.843  0.870
1    0.230  3.226  0.860  0.885
1    0.249  3.487  0.876  0.899
1    0.264  3.674  0.890  0.912
2    0.214  3.045  0.841  0.868
2    0.231  3.252  0.860  0.885
2    0.250  3.510  0.876  0.899
2    0.270  3.788  0.891  0.913
2    0.289  4.052  0.905  0.926
2    0.305  4.252  0.917  0.937
2    0.322  4.465  0.930  0.949
3    0.239  3.415  0.860  0.884
3    0.253  3.587  0.874  0.898
3    0.271  3.814  0.891  0.913
3    0.290  4.075  0.905  0.926
3    0.310  4.352  0.918  0.938
3    0.329  4.619  0.931  0.949
3    0.347  4.836  0.944  0.962
3    0.362  5.016  0.955  0.971
4    0.278  3.961  0.891  0.913
4    0.292  4.141  0.903  0.923
4    0.311  4.377  0.918  0.938
4    0.330  4.637  0.931  0.950
4    0.350  4.915  0.943  0.961
4    0.369  5.184  0.954  0.971
4    0.388  5.411  0.967  0.983
4    0.403  5.592  0.977  0.992
